tau,alpha,t,path,id
2.530158,1.232837,-4.6,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.530158,1.232837,-3.55,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.530158,1.232837,-2.49,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.530158,1.232837,-1.44,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.530158,1.232837,-0.38,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.530158,1.232837,0.67,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.530158,1.232837,1.73,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.530158,1.232837,2.79,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.530158,1.232837,3.84,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.530158,1.232837,4.9,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s0__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-3.015673,1.087711,-5.24,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
-3.015673,1.087711,-4.33,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
-3.015673,1.087711,-3.42,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
-3.015673,1.087711,-2.5,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
-3.015673,1.087711,-1.59,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
-3.015673,1.087711,-0.68,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
-3.015673,1.087711,0.23,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
-3.015673,1.087711,1.14,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
-3.015673,1.087711,2.05,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
-3.015673,1.087711,2.97,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s1__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1.210913,0.908757,-4.09,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1.210913,0.908757,-3.12,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1.210913,0.908757,-2.14,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1.210913,0.908757,-1.16,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1.210913,0.908757,-0.18,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1.210913,0.908757,0.79,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1.210913,0.908757,1.77,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1.210913,0.908757,2.75,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1.210913,0.908757,3.72,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1.210913,0.908757,4.7,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s2__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]"
